id,overview,plot,version,CPU,memory,RAM,video_card,id_catalogs
1,"В Fallout 76 рассказывается предыстория событий остальных игр, и эта игра — самая большая. Она вчетверо больше, чем Fallout 4. Действие происходит среди холмов Западной Вирджинии. Вы — один из немногих счастливчиков, которых взяли в убежище. 25 лет вы прожили под землёй в ожидании Дня возрождения, и вы один из первых, кто выходит в новые, очень опасные Пустоши. На этот раз вас ждут совершенно новый рендеринг, система освещения и технологии прорисовки ландшафта. Изображение стало в 16 раз более детальным. Будет видно даже текущую погоду в удалённых районах. Bethesda давно хотела рассказать такую историю — историю персонажей, которые стали первопроходцами, первыми людьми, вышедшими из убежищ. Но что в корне отличает эту игру от всех предыдущих, каждый из этих персонажей — реальный человек. Игра Fallout 76 полностью сетевая. Но, конечно же, осталась возможность сыграть в одиночку, двигаясь по сюжету и повышая свой уровень.","Время действия игровых событий — 23 октября 2102 года, спустя 25 лет после войны и 59 лет до начала оригинального Fallout. Место начала событий — Убежище 76 в регионе Аппалачия. Игра рассказывает историю жителей Убежища, покинувших свой дом, чтобы возродить разрушенную цивилизацию. Проснувшись после празднования Дня возрождения, жители Убежища 76 собирают снаряжение для выживания, чтобы отправиться на поверхность. Однако жители узнают, что смотрительница покинула Убежище ещё 23 октября ради некой миссии «Волт-Тек», тем самым оставив их на произвол судьбы. Навсегда покинув Убежище, жители начинают искать дневники смотрительницы, которые раскрывают её мотивацию, информацию о местном населении и фракциях, а также о том, насколько сильно война изменила мир.По мере пребывания в Аппалачии резиденты замечают, что они являются единственными «нормальными» людьми, а все крупнейшие организации — «Спасатели», Братство Стали, «Свободные Штаты» и рейдеры были уничтожены, а в регионе повсеместно встречаются мутанты с кристальными отростками и окаменелые человеческие тела. Из дневников смотрительницы резиденты узнают, что в Аппалачии распространён вирус, известный как «чума горелых», а все эти организации пытались противостоять вирусу, но из-за нескоординированных действий их попытки потерпели крах. Как позже выясняется, чума распространяется благодаря зверожогам — драконоподобным летучим мышам. Чума заставляет подчиняться любое существо (кроме кротокрысов и диких гулей) коллективному разуму зверожогов.",Windows 7/8/8.1/10;,Intel Core i5-6600K;,60 GB;,8 GB;,NVIDIA GeForce GTX 780;,1
2,Outlast,04 сен. 2013 г.,Windows XP / Vista / 7 / 8 - 64 bits;,2.2 GHz Dual Core CPU;,5 GB;,2 GB ОЗУ;,512 MB NVIDIA GeForce 9800GTX / ATI Radeon HD 3xxx series;,1
3,Outlast 2,24 апр. 2017 г.,"Windows Vista / 7 / 8 / 10, 64-bits;",Intel Core i3-530;,30 GB;,4 GB ОЗУ;,"1GB VRAM, NVIDIA Geforce GTX 260 / ATI Radeon HD 4870;",1
4,The Walking Dead,31 окт. 2010 г.,Windows XP с пакетом обновлений 3;, Pentium 4 с тактовой частотой 2 ГГц или аналогичный;,2 ГБ;,3 ГБ;,ATI или NVidia с 512 МБ видеопамяти;,1
5,Counter-Strike 2,27 сен. 2023 г.,Бесплатно,img/games/Бесплатно/Counter-Strike 2.jpeg,_,_,_,7
6,Dota 2,09 июля 2013 г.,Бесплатно,img/games/Бесплатно/Dota 2.jpeg,_,_,_,7
7,Fortnite,21 июля 2017 г.,Бесплатно,img/games/Бесплатно/Fortnite.jpeg,_,_,_,7
8,Grand Theft Auto V,17 сен. 2013 г.,Бесплатно,img/games/Бесплатно/Grand Theft Auto V.jpeg,_,_,_,7
9,PUBG Battlegrounds,23 мар. 2017 г.,Бесплатно,img/games/Бесплатно/PUBG BATTLEGROUNDS.jpeg,_,_,_,7
10,War Thunder,01 ноя. 2012 г.,Бесплатно,img/games/Бесплатно/War Thunder.jpeg,_,_,_,7
